02-16-2026 15:54:08 RAM 9798/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [3%@729,2%@729,21%@729,2%@729,3%@2112,3%@2112,31%@2112,2%@2112,2%@729,5%@729,2%@729,2%@729] GR3D_FREQ 0% cpu@41.875C soc2@37.093C soc0@38.062C tj@41.875C soc1@38.625C VDD_GPU_SOC 2804mW/2804mW VDD_CPU_CV 1201mW/1201mW VIN_SYS_5V0 4032mW/4032mW
02-16-2026 15:54:41 RAM 10665/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@2201,0%@2201,0%@2201,1%@2201,0%@2188,0%@2188,0%@2188,21%@2188,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.125C soc2@37.218C soc0@38.187C tj@42.125C soc1@38.781C VDD_GPU_SOC 4006mW/2604mW VDD_CPU_CV 801mW/1502mW VIN_SYS_5V0 4132mW/3981mW
02-16-2026 15:54:44 RAM 10697/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,95%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.25C soc2@37.25C soc0@38.156C tj@42.25C soc1@38.75C VDD_GPU_SOC 2804mW/2619mW VDD_CPU_CV 2804mW/1602mW VIN_SYS_5V0 4334mW/4008mW
02-16-2026 15:54:47 RAM 10740/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@2201,42%@2201,0%@2201,47%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 61% cpu@42.5C soc2@37.343C soc0@38.218C tj@42.5C soc1@38.687C VDD_GPU_SOC 4408mW/2747mW VDD_CPU_CV 2403mW/1659mW VIN_SYS_5V0 5552mW/4118mW
02-16-2026 15:54:50 RAM 10739/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@2188,70%@2188,0%@2188,19%@2188,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 52% cpu@42.625C soc2@37.406C soc0@38.218C tj@42.625C soc1@38.812C VDD_GPU_SOC 4008mW/2831mW VDD_CPU_CV 2403mW/1709mW VIN_SYS_5V0 5451mW/4207mW
02-16-2026 15:54:53 RAM 10736/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [2%@729,0%@729,1%@729,0%@729,0%@2188,46%@2188,0%@2188,40%@2188,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 51% cpu@42.593C soc2@37.593C soc0@38.312C tj@42.593C soc1@38.843C VDD_GPU_SOC 4408mW/2930mW VDD_CPU_CV 2403mW/1752mW VIN_SYS_5V0 5451mW/4285mW
02-16-2026 15:54:56 RAM 10728/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@2188,12%@2188,0%@2188,74%@2188,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 51% cpu@42.875C soc2@37.625C soc0@38.437C tj@42.875C soc1@38.906C VDD_GPU_SOC 4008mW/2993mW VDD_CPU_CV 2403mW/1790mW VIN_SYS_5V0 5451mW/4354mW
02-16-2026 15:54:59 RAM 10727/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@2188,41%@2188,0%@2188,45%@2188,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 52% cpu@42.843C soc2@37.593C soc0@38.531C tj@42.843C soc1@38.906C VDD_GPU_SOC 4008mW/3050mW VDD_CPU_CV 2403mW/1825mW VIN_SYS_5V0 5350mW/4409mW
02-16-2026 15:55:02 RAM 10730/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@2201,26%@2201,0%@2201,64%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 60% cpu@42.875C soc2@37.656C soc0@38.5C tj@42.875C soc1@39.218C VDD_GPU_SOC 4008mW/3100mW VDD_CPU_CV 2403mW/1855mW VIN_SYS_5V0 5451mW/4464mW
02-16-2026 15:55:05 RAM 11018/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,86%@2201,0%@1036,0%@1036,0%@1036,0%@1036] GR3D_FREQ 2% cpu@42.875C soc2@37.593C soc0@38.437C tj@42.875C soc1@39.218C VDD_GPU_SOC 3206mW/3105mW VDD_CPU_CV 2804mW/1902mW VIN_SYS_5V0 4435mW/4462mW
02-16-2026 15:55:08 RAM 11204/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,100%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.593C soc2@37.562C soc0@38.437C tj@42.593C soc1@39.156C VDD_GPU_SOC 3206mW/3110mW VDD_CPU_CV 2403mW/1926mW VIN_SYS_5V0 4636mW/4471mW
02-16-2026 15:55:11 RAM 11361/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,85%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@42.531C soc2@37.593C soc0@38.468C tj@42.781C soc1@39.062C VDD_GPU_SOC 2805mW/3096mW VDD_CPU_CV 2003mW/1930mW VIN_SYS_5V0 4233mW/4460mW
02-16-2026 15:55:14 RAM 11967/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [2%@729,1%@729,1%@729,3%@729,1%@2201,0%@2201,75%@2201,11%@2201,0%@729,0%@729,0%@729,2%@729] GR3D_FREQ 63% cpu@42.718C soc2@37.656C soc0@38.562C tj@42.718C soc1@39.156C VDD_GPU_SOC 5611mW/3206mW VDD_CPU_CV 2404mW/1950mW VIN_SYS_5V0 5552mW/4507mW
02-16-2026 15:55:17 RAM 12241/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,88%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 56% cpu@42.906C soc2@37.75C soc0@38.656C tj@42.906C soc1@39.218C VDD_GPU_SOC 5210mW/3289mW VDD_CPU_CV 2403mW/1969mW VIN_SYS_5V0 5451mW/4547mW
02-16-2026 15:55:20 RAM 13064/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,1%@729,1%@2112,55%@2112,31%@2112,0%@2112,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 41% cpu@43.375C soc2@38.062C soc0@38.75C tj@43.375C soc1@39.281C VDD_GPU_SOC 6012mW/3398mW VDD_CPU_CV 2403mW/1987mW VIN_SYS_5V0 5754mW/4595mW
02-16-2026 15:55:23 RAM 13063/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,1%@729,0%@2201,2%@2201,0%@2201,86%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 51% cpu@43.468C soc2@38.062C soc0@38.812C tj@43.468C soc1@39.343C VDD_GPU_SOC 5611mW/3483mW VDD_CPU_CV 2403mW/2003mW VIN_SYS_5V0 5350mW/4624mW
02-16-2026 15:55:26 RAM 13834/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@2201,1%@2201,0%@2201,0%@2201,0%@2112,85%@2112,0%@2112,0%@2112,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 64% cpu@43.468C soc2@38.156C soc0@39.093C tj@43.468C soc1@39.406C VDD_GPU_SOC 6813mW/3606mW VDD_CPU_CV 2403mW/2017mW VIN_SYS_5V0 5754mW/4666mW
02-16-2026 15:55:29 RAM 13839/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@2201,0%@2201,0%@2201,0%@2201,6%@2201,32%@2201,0%@2201,0%@2201,0%@729,48%@729,0%@729,1%@729] GR3D_FREQ 45% cpu@44C soc2@38.125C soc0@38.906C tj@44C soc1@39.5C VDD_GPU_SOC 5611mW/3678mW VDD_CPU_CV 2403mW/2031mW VIN_SYS_5V0 5451mW/4694mW
02-16-2026 15:55:32 RAM 14642/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,5%@2201,80%@2201,0%@2201,0%@2201,0%@729,0%@729,1%@729,0%@729] GR3D_FREQ 46% cpu@43.562C soc2@38.218C soc0@39.125C tj@43.562C soc1@39.656C VDD_GPU_SOC 6813mW/3786mW VDD_CPU_CV 2404mW/2044mW VIN_SYS_5V0 5855mW/4734mW
02-16-2026 15:55:35 RAM 14642/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@2201,0%@2201,0%@2201,0%@2201,1%@1804,83%@1804,0%@1804,0%@1804,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 66% cpu@43.312C soc2@38.156C soc0@39.062C tj@43.312C soc1@39.718C VDD_GPU_SOC 5611mW/3847mW VDD_CPU_CV 2003mW/2043mW VIN_SYS_5V0 5552mW/4761mW
02-16-2026 15:55:38 RAM 15470/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@1728,42%@1728,42%@1728,0%@1728,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 94% cpu@43.437C soc2@38.312C soc0@39.187C tj@43.437C soc1@39.718C VDD_GPU_SOC 6412mW/3930mW VDD_CPU_CV 2403mW/2054mW VIN_SYS_5V0 5754mW/4793mW
02-16-2026 15:55:41 RAM 15476/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@2201,0%@2201,0%@2201,0%@2201,88%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 41% cpu@43.812C soc2@38.218C soc0@39.031C tj@43.812C soc1@39.656C VDD_GPU_SOC 5210mW/3970mW VDD_CPU_CV 2404mW/2065mW VIN_SYS_5V0 5451mW/4814mW
02-16-2026 15:55:44 RAM 15476/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,84%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 58% cpu@43.812C soc2@38.281C soc0@39.187C tj@43.812C soc1@39.781C VDD_GPU_SOC 6012mW/4032mW VDD_CPU_CV 2403mW/2075mW VIN_SYS_5V0 5653mW/4839mW
02-16-2026 15:55:47 RAM 15477/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@2201,0%@2201,87%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 61% cpu@43.687C soc2@38.406C soc0@39.375C tj@43.687C soc1@39.812C VDD_GPU_SOC 5210mW/4066mW VDD_CPU_CV 2403mW/2085mW VIN_SYS_5V0 5350mW/4854mW
02-16-2026 15:55:50 RAM 15477/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,1%@729,0%@729,0%@729,0%@2201,32%@2201,51%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 58% cpu@43.906C soc2@38.468C soc0@39.375C tj@43.906C soc1@39.812C VDD_GPU_SOC 6012mW/4122mW VDD_CPU_CV 2403mW/2094mW VIN_SYS_5V0 5653mW/4877mW
02-16-2026 15:55:53 RAM 15476/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@2201,0%@2201,1%@2201,0%@2201,0%@2201,88%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 51% cpu@43.812C soc2@38.375C soc0@39.406C tj@43.812C soc1@40.281C VDD_GPU_SOC 5210mW/4152mW VDD_CPU_CV 2403mW/2103mW VIN_SYS_5V0 5350mW/4890mW
02-16-2026 15:55:56 RAM 15479/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,1%@729,0%@2201,76%@2201,5%@2201,0%@2201,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 54% cpu@43.906C soc2@38.5C soc0@39.437C tj@43.906C soc1@40.218C VDD_GPU_SOC 6813mW/4224mW VDD_CPU_CV 2404mW/2111mW VIN_SYS_5V0 5754mW/4914mW
02-16-2026 15:55:59 RAM 15479/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@2201,78%@2201,7%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 70% cpu@43.906C soc2@38.562C soc0@39.406C tj@43.906C soc1@40.187C VDD_GPU_SOC 5210mW/4250mW VDD_CPU_CV 2403mW/2119mW VIN_SYS_5V0 5451mW/4928mW
02-16-2026 15:56:02 RAM 15469/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@2201,27%@2201,54%@2201,0%@2201,0%@729,0%@729,0%@729,1%@729] GR3D_FREQ 59% cpu@43.875C soc2@38.593C soc0@39.531C tj@43.875C soc1@40.218C VDD_GPU_SOC 6412mW/4305mW VDD_CPU_CV 2403mW/2126mW VIN_SYS_5V0 5754mW/4949mW
02-16-2026 15:56:05 RAM 15469/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@1958,15%@1958,71%@1958,0%@1958,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 51% cpu@43.875C soc2@38.593C soc0@39.437C tj@43.875C soc1@40.25C VDD_GPU_SOC 5611mW/4338mW VDD_CPU_CV 2403mW/2133mW VIN_SYS_5V0 5552mW/4964mW
02-16-2026 15:56:08 RAM 15471/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@2201,88%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 47% cpu@44.218C soc2@38.625C soc0@39.531C tj@44.218C soc1@40.218C VDD_GPU_SOC 4408mW/4340mW VDD_CPU_CV 2403mW/2139mW VIN_SYS_5V0 5040mW/4966mW
02-16-2026 15:56:11 RAM 15339/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [3%@2201,2%@2201,1%@2201,1%@2201,0%@2201,93%@2201,0%@2201,0%@2201,17%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 0% cpu@44.218C soc2@38.687C soc0@39.5C tj@44.218C soc1@40.281C VDD_GPU_SOC 4408mW/4341mW VDD_CPU_CV 2804mW/2155mW VIN_SYS_5V0 5040mW/4968mW
02-16-2026 15:56:14 RAM 15437/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [3%@729,1%@729,2%@729,0%@729,1%@2201,51%@2201,35%@2201,0%@2201,21%@729,0%@729,2%@729,2%@729] GR3D_FREQ 39% cpu@43.75C soc2@38.656C soc0@39.625C tj@43.75C soc1@40.187C VDD_GPU_SOC 5611mW/4371mW VDD_CPU_CV 2003mW/2152mW VIN_SYS_5V0 5451mW/4979mW
02-16-2026 15:56:17 RAM 15447/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,1%@729,1%@2201,0%@2201,69%@2201,11%@2201,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 36% cpu@43.968C soc2@38.687C soc0@39.718C tj@43.968C soc1@40.218C VDD_GPU_SOC 5611mW/4399mW VDD_CPU_CV 2403mW/2157mW VIN_SYS_5V0 5451mW/4990mW
02-16-2026 15:56:20 RAM 15500/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,37%@729,0%@1267,0%@1267,1%@1267,39%@1267] GR3D_FREQ 22% cpu@44.187C soc2@39.593C soc0@40.406C tj@44.187C soc1@40.468C VDD_GPU_SOC 19238mW/4729mW VDD_CPU_CV 2004mW/2154mW VIN_SYS_5V0 7370mW/5042mW
02-16-2026 15:56:23 RAM 15509/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@2201,0%@2201,2%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,83%@2201] GR3D_FREQ 24% cpu@44.625C soc2@39.593C soc0@40.406C tj@44.625C soc1@41.125C VDD_GPU_SOC 16439mW/4983mW VDD_CPU_CV 2004mW/2151mW VIN_SYS_5V0 6764mW/5080mW
02-16-2026 15:56:26 RAM 15521/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@729,2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,1%@2201,81%@2201] GR3D_FREQ 99% cpu@45.156C soc2@40.25C soc0@41.156C tj@45.156C soc1@41.312C VDD_GPU_SOC 21233mW/5329mW VDD_CPU_CV 2403mW/2156mW VIN_SYS_5V0 7572mW/5133mW
02-16-2026 15:56:29 RAM 15579/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,1%@729,0%@729,0%@2201,0%@2201,0%@2201,63%@2201,1%@729,0%@729,0%@729,24%@729] GR3D_FREQ 52% cpu@45.093C soc2@39.593C soc0@40.437C tj@45.093C soc1@41.343C VDD_GPU_SOC 6412mW/5352mW VDD_CPU_CV 2403mW/2161mW VIN_SYS_5V0 5653mW/5144mW
02-16-2026 15:56:32 RAM 15587/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,72%@729,0%@2201,0%@2201,0%@2201,9%@2201] GR3D_FREQ 19% cpu@44.5C soc2@39.593C soc0@40.531C tj@44.5C soc1@41.343C VDD_GPU_SOC 12024mW/5488mW VDD_CPU_CV 1603mW/2150mW VIN_SYS_5V0 5855mW/5158mW
02-16-2026 15:56:35 RAM 15587/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [3%@2201,0%@2201,0%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@1420,0%@1420,0%@1420,86%@1420] GR3D_FREQ 18% cpu@45.031C soc2@40.218C soc0@41.125C tj@45.031C soc1@41.468C VDD_GPU_SOC 18845mW/5755mW VDD_CPU_CV 2004mW/2147mW VIN_SYS_5V0 7168mW/5198mW
02-16-2026 15:56:38 RAM 15584/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,0%@729,2%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@1651,0%@1651,0%@1651,85%@1651] GR3D_FREQ 87% cpu@45.437C soc2@40.718C soc0@41.531C tj@45.437C soc1@41.781C VDD_GPU_SOC 22435mW/6082mW VDD_CPU_CV 2003mW/2144mW VIN_SYS_5V0 7773mW/5249mW
02-16-2026 15:56:41 RAM 15583/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [0%@2201,1%@2201,1%@2201,0%@2201,0%@2201,0%@2201,0%@2201,53%@2201,0%@729,0%@729,0%@729,33%@729] GR3D_FREQ 46% cpu@45.5C soc2@40.156C soc0@41.156C tj@45.5C soc1@41.687C VDD_GPU_SOC 8016mW/6119mW VDD_CPU_CV 2403mW/2149mW VIN_SYS_5V0 6057mW/5264mW
02-16-2026 15:56:44 RAM 15585/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,82%@2201,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 50% cpu@45.187C soc2@39.937C soc0@40.906C tj@45.093C soc1@41.562C VDD_GPU_SOC 5611mW/6110mW VDD_CPU_CV 2403mW/2154mW VIN_SYS_5V0 5451mW/5268mW
02-16-2026 15:56:47 RAM 15629/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@2201,2%@2201,1%@2201,0%@2201,0%@729,0%@729,0%@729,0%@729,0%@2201,0%@2201,0%@2201,77%@2201] GR3D_FREQ 22% cpu@45.687C soc2@40.468C soc0@41.437C tj@45.75C soc1@41.968C VDD_GPU_SOC 16038mW/6294mW VDD_CPU_CV 2004mW/2151mW VIN_SYS_5V0 6764mW/5296mW
02-16-2026 15:56:50 RAM 15629/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@2201,1%@2201,1%@2201,1%@2201,0%@729,0%@729,0%@729,0%@729,0%@1804,0%@1804,0%@1804,80%@1804] GR3D_FREQ 38% cpu@45.812C soc2@40.906C soc0@41.75C tj@45.812C soc1@42.437C VDD_GPU_SOC 21250mW/6565mW VDD_CPU_CV 2004mW/2148mW VIN_SYS_5V0 7471mW/5335mW
02-16-2026 15:56:53 RAM 15649/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@729,1%@729,1%@729,1%@729,9%@729,0%@729,2%@729,60%@729,10%@2201,0%@2201,0%@2201,1%@2201] GR3D_FREQ 37% cpu@46.156C soc2@41.093C soc0@41.906C tj@46.156C soc1@42.593C VDD_GPU_SOC 17635mW/6763mW VDD_CPU_CV 2004mW/2146mW VIN_SYS_5V0 7067mW/5366mW
02-16-2026 15:56:56 RAM 15643/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@2201,0%@2201,1%@2201,2%@2201,2%@2112,8%@2112,0%@2112,0%@2112,23%@729,53%@729,0%@729,0%@729] GR3D_FREQ 18% cpu@45.875C soc2@40.5C soc0@41.375C tj@45.875C soc1@42.312C VDD_GPU_SOC 5608mW/6743mW VDD_CPU_CV 2403mW/2150mW VIN_SYS_5V0 5552mW/5369mW
02-16-2026 15:56:59 RAM 15643/62841MB (lfb 156x4MB) SWAP 315/31420MB (cached 5MB) CPU [1%@2201,1%@2201,0%@2201,0%@2201,1%@2112,40%@2112,0%@2112,38%@2112,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 14% cpu@45.968C soc2@40.906C soc0@41.812C tj@45.968C soc1@42.468C VDD_GPU_SOC 18043mW/6938mW VDD_CPU_CV 2004mW/2148mW VIN_SYS_5V0 7067mW/5399mW
